seqId,logStatus,timestamp,updateTime
1,1,2021-08-05 10:14:12.743,2021-08-02 00:00:00.000
2,2,2021-08-05 10:16:01.347,NULL
3,2,2021-08-05 10:19:11.697,NULL
4,2,2021-08-05 10:19:37.630,NULL
5,2,2021-08-05 10:25:26.907,NULL
6,2,2021-08-05 10:26:22.653,NULL
7,2,2021-08-05 10:27:12.863,NULL
8,2,2021-08-05 10:29:49.183,NULL
9,2,2021-08-05 10:30:23.290,NULL
10,2,2021-08-05 10:31:59.820,NULL
11,2,2021-08-05 10:32:36.717,NULL
12,2,2021-08-05 10:35:52.260,NULL
13,1,2021-08-05 10:39:22.040,2021-08-02 00:00:00.000
14,1,2021-08-05 10:41:44.950,2021-08-02 00:00:00.000
15,2,2021-08-05 10:44:59.640,NULL
16,2,2021-08-05 10:47:15.810,NULL
17,2,2021-08-05 10:50:03.250,NULL
18,2,2021-08-05 10:53:18.727,NULL
19,2,2021-08-05 10:56:34.307,NULL
20,2,2021-08-05 10:59:50.003,NULL
21,2,2021-08-05 11:03:05.463,NULL
22,2,2021-08-05 11:05:07.770,NULL
23,1,2021-08-05 11:07:23.737,2021-08-02 00:00:00.000
24,1,2021-08-05 11:07:47.003,2021-08-02 00:00:00.000
